title,year,genres,avgRating,numRatings
Some Like It Hot,1959,Comedy/Crime,4.01,50
Tron,1982,Action/Adventure/Sci-Fi,3.34,50
You've Got Mail,1998,Comedy/Romance,3.12,50
Scary Movie,2000,Comedy/Horror,2.92,50
Black Hawk Down,2001,Action/Drama/War,3.81,50
The Day After Tomorrow,2004,Action/Adventure/Drama/Sci-Fi/Thriller,3.05,50
Super Size Me,2004,Comedy/Documentary/Drama,3.51,50
Crash,2004,Crime/Drama,3.89,50
War of the Worlds,2005,Action/Adventure/Sci-Fi/Thriller,3.15,50
Serenity,2005,Action/Adventure/Sci-Fi,3.94,50
Harry Potter and the Deathly Hallows: Part 2,2011,Action/Adventure/Drama/Fantasy/Mystery/IMAX,3.91,50
Skyfall,2012,Action/Adventure/Thriller/IMAX,3.81,50
The Imitation Game,2014,Drama/Thriller/War,4.02,50
Father of the Bride Part II,1995,Comedy,3.07,49
Billy Madison,1995,Comedy,3.33,49
James and the Giant Peach,1996,Adventure/Animation/Children/Fantasy/Musical,3.45,49
Sixteen Candles,1984,Comedy/Romance,3.6,49
Superman II,1980,Action/Sci-Fi,3.02,49
The Talented Mr. Ripley,1999,Drama/Mystery/Thriller,3.34,49
Planet of the Apes,2001,Action/Adventure/Drama/Sci-Fi,2.74,49
Road to Perdition,2002,Crime/Drama,3.52,49
Chicago,2002,Comedy/Crime/Drama/Musical,3.72,49
The Da Vinci Code,2006,Drama/Mystery/Thriller,3.12,49
Nine Months,1995,Comedy/Romance,2.82,48
Wallace & Gromit: A Close Shave,1995,Animation/Children/Comedy,3.9,48
Highlander,1986,Action/Adventure/Fantasy,3.73,48
Jackie Brown,1997,Crime/Drama/Thriller,3.7,48
Dark City,1998,Adventure/Film-Noir/Sci-Fi/Thriller,3.82,48
Seven Samurai (Shichinin no samurai),1954,Action/Adventure/Drama,4.19,48
Big Daddy,1999,Comedy,3.2,48
The Thomas Crown Affair,1999,Action/Mystery,3.65,48
Princess Mononoke (Mononoke-hime),1997,Action/Adventure/Animation/Drama/Fantasy,3.96,48
Troy,2004,Action/Adventure/Drama/War,3.43,48
Garden State,2004,Comedy/Drama/Romance,3.71,48
Hotel Rwanda,2004,Drama/War,3.79,48
The Martian,2015,Adventure/Drama/Sci-Fi,4.0,48
The Hunchback of Notre Dame,1996,Animation/Children/Drama/Musical/Romance,3.33,47
Singin' in the Rain,1952,Comedy/Musical/Romance,4.07,47
Basic Instinct,1992,Crime/Mystery/Thriller,3.19,47
Alien³ (a.k.a. Alien 3),1992,Action/Horror/Sci-Fi/Thriller,3.15,47
Sling Blade,1996,Drama,3.84,47
101 Dalmatians,1996,Adventure/Children/Comedy,3.07,47
Pi,1998,Drama/Sci-Fi/Thriller,3.85,47
Poltergeist,1982,Horror/Thriller,3.43,47
Lethal Weapon 2,1989,Action/Comedy/Crime/Drama,3.18,47
Analyze This,1999,Comedy,3.1,47
Ghostbusters II,1989,Comedy/Fantasy/Sci-Fi,3.0,47
Chocolat,2000,Drama/Romance,3.52,47
The Ring,2002,Horror/Mystery/Thriller,3.2,47
50 First Dates,2004,Comedy/Romance,3.55,47
The Terminal,2004,Comedy/Drama/Romance,3.32,47
Iron Man 2,2010,Action/Adventure/Sci-Fi/Thriller/IMAX,3.51,47
Harry Potter and the Deathly Hallows: Part 1,2010,Action/Adventure/Fantasy/IMAX,3.99,47
Mad Max: Fury Road,2015,Action/Adventure/Sci-Fi/Thriller,3.82,47
Mortal Kombat,1995,Action/Adventure/Fantasy,2.54,46
Rumble in the Bronx (Hont faan kui),1995,Action/Adventure/Comedy/Crime,3.54,46
Phenomenon,1996,Drama/Romance,3.34,46
Sneakers,1992,Action/Comedy/Crime/Drama/Sci-Fi,3.48,46
Fear and Loathing in Las Vegas,1998,Adventure/Comedy/Drama,3.97,46
Lethal Weapon 3,1992,Action/Comedy/Crime/Drama,2.93,46
Blue Velvet,1986,Drama/Mystery/Thriller,3.95,46
Me; Myself & Irene,2000,Adventure/Comedy,3.09,46
Beverly Hills Cop,1984,Action/Comedy/Crime/Drama,3.4,46
M*A*S*H (a.k.a. MASH),1970,Comedy/Drama/War,3.93,46
Adaptation,2002,Comedy/Drama/Romance,3.95,46
The Pianist,2002,Drama/War,4.11,46
The Butterfly Effect,2004,Drama/Sci-Fi/Thriller,3.63,46
The Pursuit of Happyness,2006,Drama,3.79,46
The Simpsons Movie,2007,Animation/Comedy,3.62,46
Gran Torino,2008,Crime/Drama,3.95,46
Species,1995,Horror/Sci-Fi,2.67,45
French Kiss,1995,Action/Comedy/Romance,3.48,45
The Aristocats,1970,Animation/Children,3.41,45
Gone with the Wind,1939,Drama/Romance/War,3.64,45
The English Patient,1996,Drama/Romance/War,3.71,45
Lawrence of Arabia,1962,Adventure/Drama/War,4.3,45
The Bridge on the River Kwai,1957,Adventure/Drama/War,4.12,45
Unforgiven,1992,Drama/Western,4.11,45
Star Trek: The Motion Picture,1979,Adventure/Sci-Fi,3.04,45
Alien: Resurrection,1997,Action/Horror/Sci-Fi,2.92,45
Tomorrow Never Dies,1997,Action/Adventure/Thriller,3.07,45
Mulan,1998,Adventure/Animation/Children/Comedy/Drama/Musical/Romance,3.57,45
The Godfather: Part III,1990,Crime/Drama/Mystery/Thriller,3.36,45
The Thing,1982,Action/Horror/Sci-Fi/Thriller,3.93,45
Antz,1998,Adventure/Animation/Children/Comedy/Fantasy,3.24,45
Payback,1999,Action/Thriller,3.42,45
Three Kings,1999,Action/Adventure/Comedy/Drama/War,3.71,45
A League of Their Own,1992,Comedy/Drama,3.47,45
The Cell,2000,Drama/Horror/Thriller,3.04,45
The Mummy Returns,2001,Action/Adventure/Comedy/Thriller,3.09,45
The Fast and the Furious,2001,Action/Crime/Thriller,3.07,45
Bill & Ted's Excellent Adventure,1989,Adventure/Comedy/Sci-Fi,3.7,45
American Pie 2,2001,Comedy,3.07,45
Terminator 3: Rise of the Machines,2003,Action/Adventure/Sci-Fi,3.04,45
Hitch,2005,Comedy/Romance,3.17,45
Rob Roy,1995,Action/Drama/Romance/War,3.55,44
Escape from L.A.,1996,Action/Adventure/Sci-Fi/Thriller,2.92,44
The Maltese Falcon,1941,Film-Noir/Mystery,4.17,44
The Birds,1963,Horror/Thriller,3.6,44
101 Dalmatians (One Hundred and One Dalmatians),1961,Adventure/Animation/Children,3.43,44
Misery,1990,Drama/Horror/Thriller,3.84,44
The Perfect Storm,2000,Drama/Thriller,3.17,44
Vanilla Sky,2001,Mystery/Romance/Sci-Fi/Thriller,3.42,44
About a Boy,2002,Comedy/Drama/Romance,3.72,44
Equilibrium,2002,Action/Sci-Fi/Thriller,3.88,44
Collateral,2004,Action/Crime/Drama/Thriller,3.76,44
The Hitchhiker's Guide to the Galaxy,2005,Adventure/Comedy/Sci-Fi,3.42,44
Corpse Bride,2005,Animation/Comedy/Fantasy/Musical/Romance,3.53,44
Stranger than Fiction,2006,Comedy/Drama/Fantasy/Romance,3.69,44
Spider-Man 3,2007,Action/Adventure/Sci-Fi/Thriller/IMAX,3.0,44
Scott Pilgrim vs. the World,2010,Action/Comedy/Fantasy/Musical/Romance,3.7,44
Edge of Tomorrow,2014,Action/Sci-Fi/IMAX,3.98,44
I.Q.,1994,Comedy/Romance,3.45,43
Much Ado About Nothing,1993,Comedy/Romance,3.81,43
Tin Cup,1996,Comedy/Drama/Romance,3.17,43
The Great Escape,1963,Action/Adventure/Drama/War,4.13,43
The Deer Hunter,1978,Drama/War,3.83,43
Star Trek IV: The Voyage Home,1986,Adventure/Comedy/Sci-Fi,3.48,43
Conspiracy Theory,1997,Drama/Mystery/Romance/Thriller,2.94,43
Deep Impact,1998,Drama/Sci-Fi/Thriller,3.07,43
The NeverEnding Story,1984,Adventure/Children/Fantasy,3.58,43
Ronin,1998,Action/Crime/Thriller,3.52,43
Cocoon,1985,Comedy/Sci-Fi,3.27,43
The Fly,1986,Drama/Horror/Sci-Fi/Thriller,3.38,43
Entrapment,1999,Crime/Thriller,2.99,43
The Boondock Saints,2000,Action/Crime/Drama/Thriller,4.22,43
American Graffiti,1973,Comedy/Drama,3.85,43
Good Morning; Vietnam,1987,Comedy/Drama/War,3.8,43
Shanghai Noon,2000,Action/Adventure/Comedy/Western,3.15,43
Pearl Harbor,2001,Action/Drama/Romance/War,2.97,43
Ocean's Twelve,2004,Action/Comedy/Crime/Thriller,3.29,43
The Illusionist,2006,Drama/Fantasy/Mystery/Romance,3.78,43
Watchmen,2009,Action/Drama/Mystery/Sci-Fi/Thriller/IMAX,3.99,43
Kick-Ass,2010,Action/Comedy,3.65,43
X-Men: First Class,2011,Action/Adventure/Sci-Fi/Thriller/War,3.79,43
Inside Out,2015,Adventure/Animation/Children/Comedy/Drama/Fantasy,3.81,43
Little Women,1994,Drama,3.88,42
The Flintstones,1994,Children/Comedy/Fantasy,2.36,42
Carlito's Way,1993,Crime/Drama,3.74,42
Dazed and Confused,1993,Comedy,3.93,42
Kingpin,1996,Comedy,3.37,42
Cinderella,1950,Animation/Children/Fantasy/Musical/Romance,3.49,42
That Thing You Do!,1996,Comedy/Drama,3.27,42
Dirty Dancing,1987,Drama/Musical/Romance,3.37,42
The Crying Game,1992,Drama/Romance/Thriller,3.44,42
Star Trek VI: The Undiscovered Country,1991,Action/Mystery/Sci-Fi,3.35,42
Star Trek III: The Search for Spock,1984,Action/Adventure/Sci-Fi,3.26,42
Batman & Robin,1997,Action/Adventure/Fantasy/Thriller,2.21,42
The X-Files: Fight the Future,1998,Action/Crime/Mystery/Sci-Fi/Thriller,3.44,42
Labyrinth,1986,Adventure/Fantasy/Musical,3.82,42
Rush Hour,1998,Action/Comedy/Crime/Thriller,3.26,42
Runaway Bride,1999,Comedy/Romance,2.83,42
Risky Business,1983,Comedy,3.44,42
Fast Times at Ridgemont High,1982,Comedy/Drama/Romance,3.48,42
The Whole Nine Yards,2000,Comedy/Crime,3.52,42
The Naked Gun: From the Files of Police Squad!,1988,Action/Comedy/Crime/Romance,3.4,42
Taken,2008,Action/Crime/Drama/Thriller,3.62,42
(500) Days of Summer,2009,Comedy/Drama/Romance,3.67,42
Black Swan,2010,Drama/Thriller,3.63,42
The Girl with the Dragon Tattoo,2011,Drama/Thriller,3.49,42
Executive Decision,1996,Action/Adventure/Thriller,3.38,41
So I Married an Axe Murderer,1993,Comedy/Romance/Thriller,3.32,41
Striptease,1996,Comedy/Crime,2.41,41
Glory,1989,Drama/War,4.17,41
Heathers,1989,Comedy,3.73,41
Gremlins,1984,Comedy/Horror,3.38,41
Peter Pan,1953,Animation/Children/Fantasy/Musical,3.57,41
Time Bandits,1981,Adventure/Comedy/Fantasy/Sci-Fi,3.73,41
Thelma & Louise,1991,Adventure/Crime/Drama,3.46,41
Road Trip,2000,Comedy,3.09,41
Remember the Titans,2000,Drama,3.74,41
A Knight's Tale,2001,Action/Comedy/Romance,3.34,41
8 Mile,2002,Drama,3.29,41
Hellboy,2004,Action/Adventure/Fantasy/Horror,3.38,41
Cars,2006,Animation/Children/Comedy,3.38,41
Into the Wild,2007,Action/Adventure/Drama,3.9,41
In Bruges,2008,Comedy/Crime/Drama/Thriller,4.16,41
Big Hero 6,2014,Action/Animation/Comedy,3.85,41
Star Wars: Episode VII - The Force Awakens,2015,Action/Adventure/Fantasy/Sci-Fi/IMAX,3.85,41
Don Juan DeMarco,1995,Comedy/Drama/Romance,3.61,40
Nell,1994,Drama,3.34,40
The River Wild,1994,Action/Thriller,3.25,40
The Hudsucker Proxy,1994,Comedy,3.55,40
Searching for Bobby Fischer,1993,Drama,3.88,40
Alice in Wonderland,1951,Adventure/Animation/Children/Fantasy/Musical,3.38,40
Raging Bull,1980,Drama,4.19,40
Boot; Das (Boat; The),1981,Action/Drama/War,4.21,40
My Best Friend's Wedding,1997,Comedy/Romance,3.5,40
Witness,1985,Drama/Romance/Thriller,3.65,40
Willow,1988,Action/Adventure/Fantasy,3.34,40
Cruel Intentions,1999,Drama,3.23,40
Road Warrior; The (Mad Max 2),1981,Action/Adventure/Sci-Fi/Thriller,4.04,40
Enemy at the Gates,2001,Drama/War,3.51,40
Lara Croft: Tomb Raider,2001,Action/Adventure,2.9,40
Bend It Like Beckham,2002,Comedy/Drama/Romance,3.3,40
Monty Python's The Meaning of Life,1983,Comedy,3.95,40
Howl's Moving Castle (Hauru no ugoku shiro),2004,Adventure/Animation/Fantasy/Romance,4.08,40
Madagascar,2005,Adventure/Animation/Children/Comedy,3.38,40
King Kong,2005,Action/Adventure/Drama/Fantasy/Thriller,3.4,40
Inside Man,2006,Crime/Drama/Thriller,3.8,40
The Hobbit: An Unexpected Journey,2012,Adventure/Fantasy/IMAX,3.81,40
Escape from New York,1981,Action/Adventure/Sci-Fi/Thriller,3.45,39
Akira,1988,Action/Adventure/Animation/Sci-Fi,3.74,39
The Last of the Mohicans,1992,Action/Romance/War/Western,3.83,39
Boogie Nights,1997,Drama,4.08,39
The French Connection,1971,Action/Crime/Thriller,3.87,39
The Rocketeer,1991,Action/Adventure/Sci-Fi,3.26,39
Say Anything...,1989,Comedy/Drama/Romance,3.92,39
Go,1999,Comedy/Crime,3.96,39
Mystery Men,1999,Action/Comedy/Fantasy,3.09,39
Little Shop of Horrors,1986,Comedy/Horror/Musical,3.33,39
The Iron Giant,1999,Adventure/Animation/Children/Drama/Sci-Fi,4.05,39
Boys Don't Cry,1999,Drama,3.55,39
Fistful of Dollars; A (Per un pugno di dollari),1964,Action/Western,3.94,39
Trading Places,1983,Comedy,3.73,39
The World Is Not Enough,1999,Action/Adventure/Thriller,3.33,39
Man on the Moon,1999,Comedy/Drama,3.49,39
Pitch Black,2000,Horror/Sci-Fi/Thriller,3.56,39
Hollow Man,2000,Horror/Sci-Fi/Thriller,2.29,39
Hannibal,2001,Horror/Thriller,2.94,39
Old School,2003,Comedy,3.51,39
Elf,2003,Children/Comedy/Fantasy,3.69,39
Mean Girls,2004,Comedy,3.76,39
Dodgeball: A True Underdog Story,2004,Comedy,3.55,39
Sideways,2004,Comedy/Drama/Romance,3.74,39
Old Boy,2003,Mystery/Thriller,4.09,39
Walk the Line,2005,Drama/Musical/Romance,3.76,39
Transformers,2007,Action/Sci-Fi/Thriller/IMAX,3.35,39
Forgetting Sarah Marshall,2008,Comedy/Romance,3.77,39
Indiana Jones and the Kingdom of the Crystal Skull,2008,Action/Adventure/Comedy/Sci-Fi,2.83,39
Burn After Reading,2008,Comedy/Crime/Drama,3.49,39
City of Lost Children; The (Cité des enfants perdus; La),1995,Adventure/Drama/Fantasy/Mystery/Sci-Fi,4.01,38
Dangerous Minds,1995,Drama,3.18,38
Miracle on 34th Street,1994,Drama,3.22,38
The Specialist,1994,Action/Drama/Thriller,3.08,38
Bambi,1942,Animation/Children/Drama,3.37,38
The Addams Family,1991,Children/Comedy/Fantasy,3.29,38
The Player,1992,Comedy/Crime/Drama,3.95,38
The Karate Kid,1984,Drama,3.57,38
Bowfinger,1999,Comedy,2.96,38
Dog Day Afternoon,1975,Crime/Drama,3.93,38
Mad Max,1979,Action/Adventure/Sci-Fi,3.49,38
Hero (Ying xiong),2002,Action/Adventure/Drama,3.92,38
The Notebook,2004,Drama/Romance,3.57,38
The Machinist,2004,Drama/Mystery/Thriller,3.99,38
National Treasure,2004,Action/Adventure/Drama/Mystery/Thriller,3.26,38
Lucky Number Slevin,2006,Crime/Drama/Mystery,3.86,38
Zodiac,2007,Crime/Drama/Thriller,3.71,38
Despicable Me,2010,Animation/Children/Comedy/Crime,3.68,38
Sherlock Holmes: A Game of Shadows,2011,Action/Adventure/Comedy/Crime/Mystery/Thriller,3.76,38
Whiplash,2014,Drama,4.04,38
Postman; The (Postino; Il),1994,Comedy/Drama/Romance,4.03,37
Free Willy,1993,Adventure/Children/Drama,2.39,37
Ransom,1996,Crime/Thriller,3.34,37
Cool Runnings,1993,Comedy,3.08,37
The Doors,1991,Drama,3.41,37
Dune,1984,Adventure/Sci-Fi,3.43,37
Billy Elliot,2000,Drama,3.85,37
The Emperor's New Groove,2000,Adventure/Animation/Children/Comedy/Fantasy,3.72,37
Panic Room,2002,Thriller,3.0,37
My Neighbor Totoro (Tonari no Totoro),1988,Animation/Children/Drama/Fantasy,3.96,37
Napoleon Dynamite,2004,Comedy,3.32,37
Fahrenheit 9/11,2004,Documentary,3.49,37
The Life Aquatic with Steve Zissou,2004,Adventure/Comedy/Fantasy,3.49,37
American Gangster,2007,Crime/Drama/Thriller,3.91,37
The Curious Case of Benjamin Button,2008,Drama/Fantasy/Mystery/Romance,3.59,37
Intouchables,2011,Comedy/Drama,4.11,37
Gone Girl,2014,Drama/Thriller,3.72,37
Copycat,1995,Crime/Drama/Horror/Mystery/Thriller,3.22,36
Mallrats,1995,Comedy/Romance,3.4,36
The Adventures of Priscilla; Queen of the Desert,1994,Comedy/Drama,3.6,36
The Brady Bunch Movie,1995,Comedy,2.74,36
Mystery Science Theater 3000: The Movie,1996,Comedy/Sci-Fi,3.49,36
Breakfast at Tiffany's,1961,Drama/Romance,3.85,36
William Shakespeare's Romeo + Juliet,1996,Drama/Romance,3.72,36
Swingers,1996,Comedy/Drama,3.69,36
Carrie,1976,Drama/Fantasy/Horror/Thriller,3.35,36
Rounders,1998,Drama,3.86,36
Never Been Kissed,1999,Comedy/Romance,2.96,36
From Russia with Love,1963,Action/Adventure/Thriller,3.75,36
Robin Hood,1973,Adventure/Animation/Children/Comedy/Musical,3.51,36
Fatal Attraction,1987,Drama/Thriller,3.1,36
The Fisher King,1991,Comedy/Drama/Fantasy/Romance,3.81,36
Sister Act,1992,Comedy/Crime,3.03,36
Frequency,2000,Drama/Thriller,3.42,36
Jurassic Park III,2001,Action/Adventure/Sci-Fi/Thriller,2.85,36
Master and Commander: The Far Side of the World,2003,Adventure/Drama/War,3.64,36
Fantastic Four,2005,Action/Adventure/Sci-Fi,2.76,36
Thank You for Smoking,2006,Comedy/Drama,4.03,36
Kingsman: The Secret Service,2015,Action/Adventure/Comedy/Crime,3.99,36
Hackers,1995,Action/Adventure/Crime/Thriller,3.23,35
Showgirls,1995,Drama,2.47,35
Junior,1994,Comedy/Sci-Fi,2.83,35
Primal Fear,1996,Crime/Drama/Mystery/Thriller,3.64,35
Multiplicity,1996,Comedy,2.84,35
A Time to Kill,1996,Drama/Thriller,3.66,35
My Fair Lady,1964,Comedy/Drama/Musical/Romance,4.04,35
Dumbo,1941,Animation/Children/Drama/Musical,3.39,35
Bonnie and Clyde,1967,Crime/Drama,4.07,35
Femme Nikita; La (Nikita),1990,Action/Crime/Romance/Thriller,4.07,35
The Thin Red Line,1998,Action/Drama/War,3.3,35
Bull Durham,1988,Comedy/Drama/Romance,3.67,35
Final Destination,2000,Drama/Thriller,2.93,35
What About Bob?,1991,Comedy,3.27,35
Man on Fire,2004,Action/Crime/Drama/Mystery/Thriller,3.63,35
The Aviator,2004,Drama,3.53,35
Constantine,2005,Action/Fantasy/Horror/Thriller,3.47,35
Lord of War,2005,Action/Crime/Drama/Thriller/War,3.71,35
Kiss Kiss Bang Bang,2005,Comedy/Crime/Mystery/Thriller,4.07,35
The Incredible Hulk,2008,Action/Sci-Fi,3.17,35
Quantum of Solace,2008,Action/Adventure/Thriller,3.46,35
Coraline,2009,Animation/Fantasy/Thriller,3.7,35
The Indian in the Cupboard,1995,Adventure/Children/Fantasy,3.24,34
Tank Girl,1995,Action/Comedy/Sci-Fi,2.82,34
The Jungle Book,1994,Adventure/Children/Romance,3.53,34
Rudy,1993,Drama,3.49,34
The African Queen,1951,Adventure/Comedy/Romance/War,3.97,34
Cinema Paradiso (Nuovo cinema Paradiso),1989,Drama,4.16,34
Evil Dead II (Dead by Dawn),1987,Action/Comedy/Fantasy/Horror,4.04,34
Ben-Hur,1959,Action/Adventure/Drama,3.94,34
Stripes,1981,Comedy/War,3.79,34
West Side Story,1961,Drama/Musical/Romance,3.6,34
The Dark Crystal,1982,Adventure/Fantasy,3.54,34
The Running Man,1987,Action/Sci-Fi,3.22,34
Bring It On,2000,Comedy,2.69,34
Swordfish,2001,Action/Crime/Drama,3.1,34
Ghost World,2001,Comedy/Drama,3.5,34
Jay and Silent Bob Strike Back,2001,Adventure/Comedy,3.16,34
Blade II,2002,Action/Horror/Thriller,3.21,34
Anger Management,2003,Comedy,3.06,34
Matchstick Men,2003,Comedy/Crime/Drama,3.72,34
Harold and Kumar Go to White Castle,2004,Adventure/Comedy,3.46,34
Brokeback Mountain,2005,Drama/Romance,3.56,34
Lives of Others; The (Das leben der Anderen),2006,Drama/Romance/Thriller,4.12,34
The Devil Wears Prada,2006,Comedy/Drama,3.56,34
Stardust,2007,Adventure/Comedy/Fantasy/Romance,3.6,34
The Wrestler,2008,Drama,3.74,34
Yes Man,2008,Comedy,3.62,34
The Hurt Locker,2008,Action/Drama/Thriller/War,4.06,34
Source Code,2011,Action/Drama/Mystery/Sci-Fi/Thriller,3.6,34
Thor,2011,Action/Adventure/Drama/Fantasy/IMAX,3.51,34
Like Water for Chocolate (Como agua para chocolate),1992,Drama/Fantasy/Romance,3.94,33
Muriel's Wedding,1994,Comedy,3.27,33
Heavy Metal,1981,Action/Adventure/Animation/Horror/Sci-Fi,3.55,33
Sgt. Bilko,1996,Comedy,3.05,33
Matilda,1996,Children/Comedy/Fantasy,3.27,33
The Long Kiss Goodnight,1996,Action/Drama/Thriller,3.32,33
Manhattan,1979,Comedy/Drama/Romance,4.11,33
Patton,1970,Drama/War,4.12,33
Godzilla,1998,Action/Sci-Fi/Thriller,1.95,33
Lethal Weapon 4,1998,Action/Comedy/Crime/Thriller,2.85,33
Pretty in Pink,1986,Comedy/Drama/Romance,3.24,33
The Producers,1968,Comedy,3.97,33
Star Trek: Insurrection,1998,Action/Drama/Romance/Sci-Fi,3.15,33
Dr. No,1962,Action/Adventure/Thriller,3.71,33
The Muppet Movie,1979,Adventure/Children/Comedy/Musical,3.59,33
U-571,2000,Action/Thriller/War,3.42,33
For a Few Dollars More (Per qualche dollaro in più),1965,Action/Drama/Thriller/Western,4.15,33
How the Grinch Stole Christmas (a.k.a. The Grinch),2000,Children/Comedy/Fantasy,3.05,33
Dude; Where's My Car?,2000,Comedy/Sci-Fi,2.73,33
K-PAX,2001,Drama/Fantasy/Mystery/Sci-Fi,3.48,33
Insomnia,2002,Action/Crime/Drama/Mystery/Thriller,3.3,33
Punch-Drunk Love,2002,Comedy/Drama/Romance,3.62,33
